Var 1	Var 2	Var 3	Var 4	Var 5	Var 6	Var 7	Var 8	Var 9	Var 10	Var 11	Var 12	Var 13	Var 14	Var 15	Var 16	Var 17	Var 18	Var 19	Var 20	Var 21	Var 22	Var 23	Var 24	Var 25	Var 26	Var 27	Var 28	Var 29	Var 30	Var 31	Var 32	Var 33	Var 34	Var 35	Var 36	Var 37	Var 38	Var 39	Var 40	Var 41	Var 42	Var 43	Var 44	Var 45	Var 46	Var 47	Var 48	Var 49	Var 50	Var 51	Var 52	Var 53	Var 54	Var 55	Var 56	Var 57	Var 58	Var 59	Var 60	Var 61	Var 62	Var 63	Var 64	Var 65	Var 66	Var 67	Var 68	Var 69	Var 70	Var 71	Var 72	Var 73	Var 74	Var 75	Var 76	Var 77	Var 78	Var 79
0	0.9924242424	0.9881974249	0.9935483871	0.9932546374	0.9947275923	0.9955022489	0.9919246299	0.9976303318	0.9957081545	0.9954285714	0.9967880086	0.9970760234	0.996099844	0.9920828258	0.9896296296	0.9986382206	0.9986571173	0.9973392461	0.9955770004	0.9930883958	0.9952205882	0.995308311	0.9944895592	0.9944964227	0.9950417537	0.9945255474	0.9942473634	0.9900811542	0.9935372684	0.9944704381	0.9946986059	0.9924712968	0.9925373134	0.9930473122	0.9915036871	0.9926701571	0.9926836002	0.9935679152	0.9935560859	0.9933413383	0.9938427375	0.993875012	0.9933033747	0.9931825473	0.990972272	0.9897784226	0.9921554429	0.990920882	0.990147066	0.9907296137	0.9877497894	0.987972569	0.9895777406	0.9889242907	0.9896278901	0.9908596465	0.9937603014	0.9960273178	0.9962374406	0.9916384399	0.9952455268	0.9940388503	0.994955529	0.9953471613	0.9952266232	0.9963045502	0.9951899757	0.9955404355	0.9960432604	0.9959079749	0.9925855594	0.9835712096	0.9871218928	0.995105386	0.9948438167	0.9960759999	0.9974670076	0.9975754855
0.0158730159	0.021780303	0.0203862661	0.0167741935	0.0118043845	0.0105448155	0.011994003	0.0121130552	0.0118483412	0.017167382	0.0182857143	0.017130621	0.014619883	0.0132605304	0.0103532278	0.012345679	0.0045392646	0.0035810206	0.0164079823	0.0201045436	0.0210985813	0.0194852941	0.0180965147	0.0185614849	0.016510732	0.0122651357	0.0106882169	0.0083892617	0.0126239856	0.009478673	0.0091450447	0.0084429609	0.0109166196	0.010738988	0.0100050873	0.0117024687	0.0107703815	0.010905577	0.010215664	0.0103818616	0.0110249973	0.0119107702	0.0122499761	0.0125121156	0.0130734681	0.0171240238	0.0202453179	0.0204561912	0.0219952443	0.0224724555	0.025751073	0.0326161856	0.0347810797	0.0306035436	0.0318616295	0.0293550281	0.0311728861	0.0265128326	0.0248627416	0.0258964981	0.0332139746	0.0322469423	0.0323752098	0.0280432763	0.0263974182	0.0224154185	0.0250782815	0.0299784425	0.0312296931	0.0347233879	0.0342934437	0.0380323462	0.0504337161	0.0398033021	0.0309897365	0.0304196661	0.0361143905	0.0491829313	0.0561305047
0.0317460317	0.0151515152	0.0128755365	0.0103225806	0.0067453626	0.0052724077	0.0089955022	0.0080753701	0.0082938389	0.0139484979	0.0148571429	0.0128479657	0.0116959064	0.0101404056	0.0079171742	0.0108641975	0.0027235588	0.0022381379	0.0133037694	0.015681544	0.0160058203	0.0150735294	0.0130697051	0.0130510441	0.0110071547	0.0073068894	0.0052137643	0.0026366251	0.0063119928	0.002800517	0.0034028073	0.0029452189	0.0050818746	0.0043684019	0.0030523995	0.0046489259	0.0034405385	0.0035891773	0.0037835793	0.0039379475	0.0043663356	0.0057535076	0.006124988	0.0058154904	0.0061758101	0.0080962958	0.0100237404	0.0126116341	0.0128620839	0.0126195214	0.0164806867	0.0204042569	0.0227536487	0.0202128668	0.0207859202	0.0189829182	0.0220325326	0.020273134	0.0208900594	0.0221339387	0.0286460854	0.0274924691	0.0264140601	0.0229988053	0.0217445795	0.0176420416	0.0213828317	0.0251549448	0.0267701286	0.0307666483	0.0318723288	0.0344264744	0.0465762638	0.035591108	0.0280776309	0.0252634828	0.0321818969	0.0466578793	0.0538930669
0.0476190476	1	0.9957081545	1	1	1	1	0.9959623149	1	0.9989270386	1	1	1	1	0.9945188794	0.9911111111	1	1	1	1	0.9981811568	1	1	1	1	1	1	1	0.996393147	1	1	1	0.9983060418	0.9989078995	1	0.9987175377	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9962063292	1	1	1	1	1	1	1	1	1	0.9983290898	0.9961914313	0.987418771	0.9913340869	0.9980080059	1	1	1	0.9998129233
0.0634920635	0.1003787879	0.1083690987	0.1174193548	0.1298482293	0.1300527241	0.11994003	0.1076716016	0.0971563981	0.1030042918	0.1142857143	0.1059957173	0.1003898635	0.0920436817	0.0876979294	0.089382716	0.0889695869	0.0944494181	0.1148558758	0.11982308	0.1160421972	0.1180147059	0.1092493298	0.1067285383	0.1067694001	0.1036012526	0.1068821689	0.1009108341	0.1084310189	0.107712193	0.1114419396	0.1040644021	0.1063429324	0.1052056789	0.1005596066	0.1013145239	0.0972326103	0.0958034235	0.0953461975	0.0972553699	0.0964960157	0.0988190169	0.1021150349	0.1015067407	0.1014597369	0.1000931432	0.1077552097	0.1168235578	0.1153804583	0.1160510605	0.1184549356	0.1213536483	0.1275892386	0.1241196349	0.1307540586	0.124940591	0.1194792768	0.1193548387	0.118577869	0.1181107328	0.1194425627	0.1169201176	0.1168933502	0.1204699323	0.1202688307	0.1152194407	0.1163784592	0.1168148747	0.1165220494	0.1171794441	0.1187596617	0.1212981139	0.1300653789	0.1324619115	0.1245470585	0.1211703084	0.1232577694	0.1358525624	0.1243237176
0.0793650794	0.0909090909	0.0987124464	0.1058064516	0.1163575042	0.1142355009	0.1034482759	0.0928667564	0.0829383886	0.089055794	0.0982857143	0.091006424	0.0857699805	0.0764430577	0.0663824604	0.0582716049	0.0485701316	0.0487914056	0.066962306	0.0767993567	0.0807566388	0.0860294118	0.0827747989	0.0817865429	0.0803522289	0.0762004175	0.0776850886	0.0726270374	0.0795761948	0.0784144765	0.081880051	0.0757903004	0.0779220779	0.0768110666	0.0725792776	0.0732606605	0.0701570681	0.0697128658	0.0699962164	0.0714797136	0.0711712695	0.0737862118	0.0765623505	0.076570623	0.0778793712	0.0775954718	0.0840807175	0.0927468018	0.0923043666	0.0938698248	0.0972103004	0.1005282903	0.1058202919	0.1019486467	0.1073585192	0.1020995834	0.0975726444	0.0975276666	0.0963710217	0.0957035355	0.0973579793	0.0947446739	0.0944705197	0.0974047524	0.097615616	0.0925197145	0.0940082936	0.0945836702	0.0949504988	0.096304645	0.0984132036	0.101348468	0.1105802993	0.1125602605	0.104465861	0.1013625759	0.1036547559	0.1158268354	0.1044412018
0.0952380952	0.0804924242	0.0869098712	0.0929032258	0.1028667791	0.1001757469	0.0899550225	0.0807537012	0.0722748815	0.0772532189	0.0857142857	0.0781584582	0.0740740741	0.0663026521	0.0578562728	0.0508641975	0.0408533818	0.0411817368	0.0580931264	0.0667470848	0.0702073481	0.0746323529	0.0713806971	0.0704756381	0.0687947166	0.0647181628	0.0656934307	0.0606423778	0.0671776375	0.0657044377	0.0691195236	0.063224033	0.0654997177	0.0642519112	0.0603696795	0.0613978839	0.0583395662	0.0578409718	0.05839324	0.0596658711	0.0593821635	0.0617745029	0.0643123744	0.0640585074	0.0648861084	0.0646987175	0.0704299657	0.0786265991	0.0784695201	0.0797942047	0.082832618	0.08567491	0.0902409003	0.0864731706	0.0914277044	0.0868070117	0.0830689429	0.0831645868	0.0818863545	0.0810736957	0.0829188038	0.0799549958	0.0798759807	0.0825534316	0.0824508084	0.0775411872	0.0789020847	0.0793317165	0.0799026541	0.0813050047	0.0833068109	0.0859328326	0.0952790718	0.0959626699	0.0867560851	0.0830526784	0.0836185736	0.092521717	0.0849627717
0.1111111111	0.0700757576	0.0761802575	0.0864516129	0.0994940978	0.0966608084	0.083958021	0.0753701211	0.067535545	0.0675965665	0.0742857143	0.0695931478	0.0653021442	0.0577223089	0.0517661389	0.0483950617	0.0413073082	0.0416293644	0.0465631929	0.053478086	0.0567479083	0.0621323529	0.0606568365	0.0600348028	0.0602641717	0.0597599165	0.0628258603	0.0616011505	0.0667267809	0.0654890134	0.0680561463	0.0657765561	0.0681347638	0.0678922461	0.0695268781	0.0710163514	0.0691099476	0.068332413	0.0674738302	0.0690930788	0.0683331514	0.0695467851	0.0707244712	0.0702264517	0.0713025345	0.0697857706	0.0715510419	0.075066377	0.0739840035	0.0753773722	0.0769098712	0.0792052676	0.0833128187	0.086599501	0.0950993779	0.0981017082	0.0995366873	0.1049211208	0.1023077266	0.0998654727	0.1007451853	0.0949261423	0.0892459488	0.0879795566	0.0878399549	0.0842299002	0.0855454315	0.0862840205	0.0883121185	0.0910529724	0.0936846413	0.0980733123	0.1059414656	0.1080389145	0.10721671	0.1018436987	0.0994504701	0.084104877	0.078639578
0.126984127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0064197531	9.078529278256924E-4	4.476275738585497E-4	0	0	0	0	0	0	0	0	0	9.587727708533078E-4	0.0033814247	0	0	0.002748871	0.0043290043	0.0047324354	0.0091571986	0.0109009298	0.0107703815	0.0104914412	0.0090805902	0.0093078759	0.0089509879	0.0077722822	0.0064120969	0.0062560578	0.0064966314	0.0053736476	0.0017145872	0	0	0	0	0	0	0.001673878	0.0048854499	0.0121613688	0.0169461651	0.0218036261	0.0204213721	0.018791777	0.0216006968	0.0149711465	0.0093528384	0.0054427187	0.007864394	0.0057310449	0.0054303365	0.0054163298	0.007963508	0.0100956812	0.0120487406	0.0159383801	0.0232436228	0.0207228357	0.022452619	0.0186366979	0.0171059225	0	0
0.1428571429	0.021780303	0.0214592275	0.0193548387	0.0168634064	0.0175746924	0.0194902549	0.0174966353	0.0154028436	0.0203862661	0.024	0.0214132762	0.0204678363	0.0179407176	0.0146163216	0.0162962963	0.0081706764	0.0076096688	0.0199556541	0.0237233615	0.0243724991	0.0238970588	0.0217828418	0.0214617169	0.0200880572	0.016440501	0.0151199166	0.0119846596	0.0162308386	0.0127100388	0.0138239047	0.0125662674	0.014304536	0.0136512559	0.0122095981	0.0133055466	0.0118175019	0.0117338487	0.0116029764	0.0118138425	0.011789106	0.0121126476	0.012345679	0.0126883426	0.0129932628	0.0131833489	0.0142442627	0.0176804248	0.0183203632	0.0184924526	0.0203004292	0.0213230227	0.0225426411	0.0170230237	0.0171445911	0.016159244	0.0149821222	0.0144101719	0.0144846672	0.0146088199	0.0182134908	0.0147896781	0.0145602796	0.0148679145	0.0176400551	0.0140208592	0.0138931987	0.0137159795	0.0146018883	0.0153473538	0.0167659362	0.0192242041	0.0278923474	0.0252441817	0.0197112557	0.0181555751	0.0213102083	0.0317298988	0.0258016238
0.1587301587	0.0208333333	0.0193133047	0.0180645161	0.0168634064	0.0193321617	0.0224887556	0.0201884253	0.018957346	0.0236051502	0.0274285714	0.0246252677	0.0233918129	0.023400936	0.0274056029	0.0395061728	0.0413073082	0.045210385	0.0594235033	0.056694813	0.0491087668	0.0444852941	0.0375335121	0.0356728538	0.034947716	0.0323590814	0.0320646507	0.0282837967	0.0326871055	0.0295131409	0.0304125904	0.0284704496	0.0299265951	0.0294867128	0.027980329	0.0293363257	0.0270755423	0.0260905577	0.0253499811	0.0257756563	0.0252155878	0.0250328051	0.0255526845	0.0251123447	0.0236605711	0.022784266	0.0242680032	0.0276973208	0.0275075659	0.0265980682	0.0271244635	0.0273332823	0.0286970283	0.0236869532	0.0246093157	0.0237076798	0.0223850531	0.0218742642	0.0222068473	0.0224282171	0.0258588987	0.0221754437	0.0224057008	0.0230983672	0.0251284622	0.0217570217	0.0211571553	0.0206952304	0.0211128525	0.0212225126	0.0220060016	0.0237582146	0.0320663086	0.0285579032	0.0220637059	0.0196534101	0.0208770395	0.0284505074	0.0262057096
0.1746031746	0.0189393939	0.0182403433	0.0167741935	0.0151770658	0.0175746924	0.0194902549	0.0174966353	0.0165876777	0.0214592275	0.0251428571	0.02248394	0.0214424951	0.0218408736	0.0255785627	0.0380246914	0.0399455288	0.0438675022	0.0580931264	0.0550864495	0.0472899236	0.0426470588	0.0358579088	0.0339327146	0.033021464	0.0305323591	0.0299791449	0.0263662512	0.0306582507	0.0275743214	0.0282858358	0.0265069704	0.0278562018	0.0273025118	0.025945396	0.0272523245	0.0249813014	0.0240198785	0.0233320721	0.023627685	0.02303242	0.022812153	0.023160111	0.022645167	0.021174206	0.0202049151	0.0214323398	0.0246198407	0.0245352356	0.023685871	0.024248927	0.0244238573	0.0256374187	0.0205602754	0.0213321196	0.0204926053	0.0193130886	0.018836826	0.0191269026	0.0193593139	0.022820091	0.019108627	0.0193566069	0.0199621665	0.0220265697	0.0185847461	0.0179553725	0.0175154945	0.0179656741	0.0181170715	0.0189256161	0.0207070923	0.0290396922	0.0253407916	0.0189049724	0.0164761844	0.0176410134	0.0248773206	0.0228981928
0.1904761905	0.0123106061	0.0107296137	0.0077419355	0.0050590219	0.0052724077	0.0089955022	0.0080753701	0.0071090047	0.0118025751	0.0137142857	0.0117773019	0.0107212476	0.0101404056	0.0079171742	0.0103703704	0.0022696323	0.0013428827	0.0128603104	0.0152794532	0.0156420517	0.0143382353	0.0123994638	0.0121809745	0.0101816181	0.0067849687	0.0046923879	0.0019175455	0.0058611362	0.0021542439	0.0029774564	0.0019634793	0.0037643516	0.0032763014	0.002034933	0.0033664636	0.0020942408	0.0020706792	0.0020179089	0.0021479714	0.0021831678	0.0022206521	0.0023925735	0.0026434047	0.0024863651	0.0027942968	0.0034291744	0.0066377021	0.007457847	0.0073290298	0.0087553648	0.0093790675	0.0100580271	0.004705808	0.0045213169	0.0040817468	0.0035503853	0.0030845303	0.0030799447	0.0030689032	0.0067937675	0.0030668167	0.0030490938	0.0031362007	0.00557714	0.0021996439	0.0019887726	0.0016437618	0.0026757387	0.0034531546	0.0047399291	0.006859691	0.0156078455	0.0118733637	0.0051602132	0.0030229033	0.0045015586	0.0120059077	0.0096307105
0.2063492063	0.9109848485	0.8969957082	0.8890322581	0.8735244519	0.8734622144	0.8860569715	0.8950201884	0.9075829384	0.9066523605	0.8971428571	0.9047109208	0.9083820663	0.9157566303	0.912911084	0.9111111111	0.911938266	0.9055505819	0.8966740576	0.8938480097	0.8959621681	0.8944852941	0.9014745308	0.903712297	0.9017611447	0.9013569937	0.8959854015	0.8990891659	0.8917944094	0.8927186558	0.8894087622	0.8959355979	0.8936570676	0.8947943211	0.8996099712	0.8986854761	0.9027673897	0.9041965765	0.9046538025	0.9027446301	0.9035039843	0.9011809831	0.8978849651	0.8986694863	0.8985402631	0.9001934513	0.8928383012	0.8867366643	0.8891591007	0.888365772	0.8874248927	0.8850777123	0.8793740109	0.8774279127	0.8704597178	0.8759260812	0.8809991439	0.8806922534	0.881422131	0.8818682474	0.8805380819	0.8830798824	0.88308952	0.8795466614	0.8822064168	0.8838228913	0.8824085306	0.8816626246	0.8830192526	0.8831562792	0.8812403383	0.8787018861	0.8699346211	0.8675380885	0.8754624272	0.8786753692	0.8780247501	0.8725722181	0.8818123994
0.2222222222	0.0189393939	0.0053648069	0.0167741935	0.0084317032	0.014059754	0.011994003	0.00269179	0.018957346	0.0096566524	0.0194285714	0.0235546039	0.0194931774	0.0101404056	6.090133982947623E-4	0	0.012709941	0.0174574754	0.0168514412	0.0229191797	0.0120043652	0.0191176471	0.0154155496	0.0208816705	0.0162355531	0.0153966597	0.0112095933	0.0059923298	0	2.1542438604049978E-4	0.0029774564	9.817396426467701E-4	0	0	6.783110055960657E-4	0	0.0011967091	0.0022087245	0.0079455165	0.0054892601	0.0050212859	0.0032300394	0.0069863145	0.0103973918	0.0072986846	0.0064483772	0.007781588	0.0142408882	0.0180501513	0.015240499	0.0172961373	0.0240793201	0.0215227712	0.0113065723	0.0013048096	0.0136430988	0.0041547061	0.0039792795	0.0104896666	0.004561315	0	0.0072042972	0.0113227586	0.0120469932	0.0185643564	0.0199165033	0.0188862873	0.0120991646	0.0114801932	0.0088247284	0	0	0	0	0	0.0042756379	0.006939195	0.0140624752	0.006136117
0.2380952381	0.9034090909	0.9012875536	0.8787096774	0.86846543	0.8629173989	0.88005997	0.8977119785	0.8933649289	0.9066523605	0.8891428571	0.8897216274	0.8976608187	0.9126365055	0.9183922046	0.92	0.9005901044	0.8880931065	0.8917960089	0.8845999196	0.8977810113	0.8875	0.8967828418	0.8929814385	0.8940561365	0.8909185804	0.8876433785	0.8933365292	0.8956266907	0.8927186558	0.8872820077	0.8949538582	0.8955392434	0.8958864216	0.8989316602	0.8999679384	0.9015706806	0.901987852	0.896708286	0.8972553699	0.8985918568	0.8980518825	0.8908986506	0.8884483214	0.8912415784	0.8940316687	0.8856502242	0.8760559981	0.8755404237	0.8775421055	0.8760085837	0.8674680346	0.8648144892	0.867668888	0.8703686846	0.8631216976	0.8773228584	0.8767600659	0.8709324644	0.8773069324	0.8843317526	0.8758755852	0.871732502	0.8675162618	0.8661173079	0.8629487199	0.8623233378	0.8680274859	0.8710803614	0.8746912544	0.8828998818	0.8825211232	0.8825059593	0.8761943406	0.8774544213	0.8742454089	0.8723595811	0.8669265829	0.8819994762
0.253968254	0.1136363636	0.0901287554	0.0438709677	0	0.0017574692	0.0434782609	0.0592193809	0.0781990521	0.0858369099	0.0685714286	0.0802997859	0.104288499	0.1287051482	0.131546894	0.1318518519	0.1139355424	0.0908683975	0.0904656319	0.1089666265	0.1273190251	0.1194852941	0.1313672922	0.1299303944	0.1166758393	0.108559499	0.1040145985	0.1186481304	0.1131650135	0.1044808272	0.0933645257	0.1093657962	0.102955016	0.1010192938	0.1073427166	0.1118948381	0.1144353029	0.120789619	0.1175431959	0.1089498807	0.1078484882	0.0962955486	0.0800076562	0.0865274474	0.08991017	0.0902056316	0.0769585861	0.0849022448	0.0927367056	0.0978012911	0.0988412017	0.091914861	0.0776859504	0.0729558159	0.0648460021	0.0747295144	0.0807020194	0.0778196374	0.0713074142	0.0775213352	0.0875060486	0.0774144376	0.0749768749	0.0748871631	0.0775629778	0.0801298837	0.0834579255	0.0923336028	0.099715862	0.1044819069	0.0927753024	0.0946274644	0.0934789274	0.0827850718	0.08606363	0.0899971859	0.1017182364	0.1140878845	0.1272271486
0.2698412698	0.0757575758	0.0847639485	0.0916129032	0.1129848229	0.1230228471	0.1139430285	0.1063257066	0.1030805687	0.1030042918	0.1097142857	0.1006423983	0.0984405458	0.0912636505	0.0742996346	0.0681481481	0.0590104403	0.0631154879	0.0811529933	0.0856453559	0.0843943252	0.0882352941	0.0857908847	0.0800464037	0.0820033021	0.0806367432	0.0784671533	0.0759827421	0.0802524797	0.0777682034	0.0791152701	0.0785391714	0.0833803877	0.082999636	0.0817364762	0.0833600513	0.0816753927	0.0797901712	0.0747887502	0.0766109785	0.0789215151	0.0801453518	0.0829744473	0.0846770641	0.0813282002	0.0806047145	0.0808493801	0.0826092204	0.0809554691	0.0785807892	0.0754935622	0.0722762422	0.0740988219	0.0724504943	0.0699135184	0.0686628086	0.0682882611	0.0676948434	0.0667098156	0.066780174	0.0706474402	0.0675244075	0.0682791463	0.0714024957	0.0735837824	0.0689221745	0.0712149849	0.069091889	0.0692124409	0.0697824992	0.0703600982	0.0709972689	0.0783161726	0.0737037359	0.0707063042	0.0687733186	0.07086982	0.0771173117	0.0746062035
0.2857142857	0.0123106061	0.0107296137	0.0077419355	0.0050590219	0.0052724077	0.0074962519	0.0067294751	0.0082938389	0.025751073	0.0297142857	0.0289079229	0.0272904483	0.0257410296	0.0237515225	0.027654321	0.0204266909	0.0237242614	0.0407982262	0.0361881785	0.030556566	0.0305147059	0.029155496	0.0295823666	0.0275178866	0.0234864301	0.023983316	0.0218120805	0.0263751127	0.0247738044	0.025095704	0.0270960141	0.0325616413	0.0320349472	0.0323893505	0.036069253	0.0335078534	0.0323025953	0.0394753437	0.041646778	0.0422442965	0.04451398	0.0444061633	0.045290334	0.0474815528	0.054381314	0.0567792139	0.057446295	0.0592304367	0.0593117507	0.0622317597	0.0649261159	0.0654123439	0.0633547042	0.0646032469	0.0640498756	0.0653170167	0.0663056275	0.0677141454	0.0679152478	0.0737443143	0.0699016441	0.0702319367	0.0714024957	0.0737561098	0.0705232758	0.0704674321	0.0702506063	0.0702827364	0.070753699	0.072610712	0.074368439	0.0820846068	0.0792877914	0.0731346398	0.0705253316	0.0714643655	0.078348076	0.0770007857
0.3015873016	0.0549242424	0.0611587983	0.0683870968	0.0792580101	0.0738137083	0.0659670165	0.0605652759	0.0497630332	0.0493562232	0.0525714286	0.0481798715	0.0409356725	0.0335413417	0.0255785627	0.0232098765	0.0118020881	0.0102954342	0.0199556541	0.0237233615	0.0232811932	0.0231617647	0.0214477212	0.0211716937	0.0198128784	0.017223382	0.0174661105	0.0148609779	0.019386835	0.0174493753	0.0210548703	0.0188494011	0.0216450216	0.0238441937	0.0240800407	0.0256492466	0.0260284218	0.0270568747	0.0282507252	0.0304295943	0.0295819234	0.0330069648	0.0374198488	0.0388580492	0.038418351	0.0398366411	0.0472830388	0.0527999035	0.0506917423	0.0534873562	0.0552360515	0.0596432126	0.0708985405	0.0749139374	0.0834774693	0.0806284772	0.0828423226	0.080409701	0.0818640361	0.0770168579	0.0783509145	0.0784125141	0.0757305834	0.0694112571	0.0633381376	0.0537640845	0.0504668679	0.0479250876	0.0474752494	0.0501786528	0.0570269164	0.0566591278	0.0678713787	0.0633664705	0.051402933	0.0474768289	0.0424760271	0.0468087472	0.044434467
0.3174603175	0.0160984848	0.0150214592	0.0129032258	0.0134907251	0.0123022847	0.0134932534	0.0121130552	0.0106635071	0.0150214592	0.016	0.0139186296	0.0136452242	0.011700468	0.009135201	0.0118518519	0.0045392646	0.0040286482	0.0146341463	0.0164857258	0.0163695889	0.0150735294	0.0137399464	0.0139211137	0.0121078701	0.0080897704	0.0054744526	0.0033557047	0.0076645627	0.0043084877	0.0046788601	0.0035342627	0.0052700922	0.0047324354	0.0037307105	0.0056107727	0.0046372476	0.00496963	0.0044141758	0.0045346062	0.0046938107	0.0049459978	0.0043066322	0.0039651071	0.003930061	0.0045855126	0.0052756529	0.0092324403	0.0096195417	0.0084939087	0.0104291845	0.0114462905	0.012027431	0.007106086	0.0073130026	0.0071570354	0.0080576119	0.0082411114	0.0081685489	0.0071047211	0.0103551727	0.007113563	0.0067319881	0.0066374618	0.0091176839	0.0051325024	0.0048943553	0.0047830773	0.0063070984	0.0063307834	0.009013822	0.0109989758	0.0211962058	0.0176216561	0.0099884275	0.0074528636	0.0085359742	0.0143165685	0.0132525162
